OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-09-19T04:11:54.904992,15.49173263,.00048063,51.6309,194.9288,156.4521,203.6688,0,U,25544,999,58632,.11723079E-3,.6053E-4,0
POISK,2009-060A,2026-09-19T04:11:54.904992,15.49173263,.00048063,51.6309,194.9288,156.4521,203.6688,0,U,36086,999,58646,.11723079E-3,.6053E-4,0
CSS (TIANHE),2021-035A,2026-09-19T00:02:45.357504,15.60089839,.00026194,41.4678,112.3893,289.2940,70.7615,0,U,48274,999,30781,.20004076E-3,.16394E-3,0
ISS (NAUKA),2021-066A,2026-09-19T04:11:54.904992,15.49173263,.00048063,51.6309,194.9288,156.4521,203.6688,0,U,49044,999,58650,.11723079E-3,.6053E-4,0
FREGAT DEB,2011-037PF,2026-09-19T04:41:33.191520,12.44551487,.09440644,51.6468,78.6970,131.6853,236.8792,0,U,49271,999,23674,.15154405E-1,.10835E-3,0
CSS (WENTIAN),2022-085A,2026-09-19T00:02:45.357504,15.60089839,.00026194,41.4678,112.3893,289.2940,70.7615,0,U,53239,999,28823,.20004076E-3,.16394E-3,0
CSS (MENGTIAN),2022-143A,2026-09-19T00:02:45.357504,15.60089839,.00026194,41.4678,112.3893,289.2940,70.7615,0,U,54216,999,30807,.20004076E-3,.16394E-3,0
HRC MONOBLOCK CAMERA,1998-067XR,2026-09-19T01:54:35.574624,15.96483619,.0004853,51.6134,150.4403,177.6725,182.4306,0,U,66052,999,5287,.55610828E-3,.237527E-2,.33568687E-4
SZ-21 MODULE,2025-246C,2026-09-18T21:48:20.248416,15.85791564,.0011562,41.4699,79.8421,325.6922,34.3178,0,U,66515,999,4857,.26194E-3,.66487E-3,0
DUPLEX,1998-067XS,2026-09-19T07:11:28.175424,15.70045691,.00045099,51.6242,171.6944,159.1950,200.9231,0,U,66906,999,4540,.40680909E-3,.49784E-3,0
KNACKSAT-2,1998-067XZ,2026-09-19T06:06:44.949024,15.69367004,.0008279,51.6237,178.1756,181.0467,179.0514,0,U,67683,999,3500,.51270917E-3,.61304E-3,0
GXIBA-1,1998-067YB,2026-09-19T03:54:09.084960,15.73458924,.00090113,51.6226,176.0233,179.5628,180.5381,0,U,67685,999,3502,.59588795E-3,.8513E-3,0
UITMSAT-2,1998-067YC,2026-09-19T01:08:46.928832,15.85686331,.00081248,51.6181,170.6922,164.7475,195.3775,0,U,67686,999,3508,.80180086E-3,.203393E-2,0
LEOPARD,1998-067YD,2026-09-19T03:22:09.134400,15.75302472,.00087951,51.6236,176.6625,163.3610,196.7679,0,U,67687,999,3493,.95417316E-3,.149197E-2,0
HMU-SAT2,1998-067YE,2026-09-17T01:50:52.917504,15.78576202,.00074627,51.6250,183.8500,144.1512,215.9991,0,U,67688,999,3465,.7708947E-3,.139051E-2,0
CREW DRAGON 12,2026-031A,2026-09-19T04:11:54.904992,15.49173263,.00048063,51.6309,194.9288,156.4521,203.6688,0,U,67796,999,58627,.11723079E-3,.6053E-4,0
CYGNUS NG-24,2026-079A,2026-09-19T04:11:54.904992,15.49173263,.00048063,51.6309,194.9288,156.4521,203.6688,0,U,68689,999,58629,.11723079E-3,.6053E-4,0
PROGRESS-MS 34,2026-093A,2026-09-19T04:11:54.904992,15.49173263,.00048063,51.6309,194.9288,156.4521,203.6688,0,U,68837,999,58631,.11723079E-3,.6053E-4,0
TIANZHOU-10,2026-102A,2026-09-19T00:02:45.357504,15.60089839,.00026194,41.4678,112.3893,289.2940,70.7615,0,U,69049,999,30870,.20004076E-3,.16394E-3,0
SHENZHOU-23 (SZ-23),2026-113A,2026-09-19T00:02:45.357504,15.60089839,.00026194,41.4678,112.3893,289.2940,70.7615,0,U,69180,999,30789,.20004076E-3,.16394E-3,0
SOYUZ-MS 29,2026-162A,2026-09-19T04:11:54.904992,15.49173263,.00048063,51.6309,194.9288,156.4521,203.6688,0,U,100057,999,58674,.11723079E-3,.6053E-4,0
PROGRESS-MS 35,2026-212A,2026-09-18T19:24:25.977600,15.95981559,.00142161,51.6356,196.9863,121.1150,239.1255,0,U,100712,999,36,.21026818E-3,.85996E-3,.14200767E-4
SL-4 R/B,2026-212B,2026-09-19T04:38:38.637600,16.39206789,.00115587,51.6580,194.3909,99.7209,260.5123,0,U,100713,999,40,.38630644E-3,.4992749E-1,.12359074E-4
